Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
190,2025-04-20,8020,JBBD87,Jyoti Bikash Bank Bond 2087,1113,1113,1086.1,1086.1,323,358826.5,1075,1113,965,2025-04-20T12:37:01.07671,1086.1,3,1110.91,1629.15
191,2025-04-20,8025,SPC,Samling Power Company Limited,547,560,535,537.85,41774,22791688.1,553.64,722,464,2025-04-20T14:59:58.330634,545,210,545.59,2689.25
192,2025-04-20,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,518,518,508.3,513.98,13477,6906950.3,508.96,742,422,2025-04-20T14:59:57.181345,517,122,512.49,2055.92
193,2025-04-20,8033,GBBD85,Garima Debenture, 2085,1060.2,1060.2,1060.2,1060.2,25,26505,1070,1090.3,940,2025-04-20T13:14:22.606398,1060.2,1,1060.2,1060.2
194,2025-04-20,8034,ENL,Emerging Nepal Limited,1269,1289.8,1228.1,1245.5,2125,2643642,1245,1453.5,766,2025-04-20T14:53:10.425018,1245,46,1244.06,6920
195,2025-04-20,8041,NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,1801,1819,1801,1808.26,440,795877,1835.14,2641,1641,2025-04-20T14:58:19.703242,1809,24,1808.81,5268.14
196,2025-04-20,2881,NRIC,Nepal Reinsurance Company Limited,1295,1308.9,1270,1271.64,108782,139513757.2,1290.41,1389.9,630.1,2025-04-20T14:59:59.406081,1270,624,1282.5,170681.9
197,2025-04-20,2885,KBLD86,10.25% KBL Debenture 2086,1129,1129,1129,1129,25,28225,1129.95,1257.4,1025,2025-04-20T14:57:09.209558,1129,1,1129,3387
198,2025-04-20,2886,ADBLD83,10.35% Agricultural Bank Debenture 2083,1110,1110,1110,1132,955,1060160,1130,1160,1049,2025-04-20T14:28:27.476505,1110,2,1110.11,2830
199,2025-04-20,2887,NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,643,648,635.1,639.78,5380,3463814.6,646.17,907,622.3,2025-04-20T14:55:12.923616,640,113,643.83,11128.59
200,2025-04-20,2892,NBLD82,10% Nabil Debenture 2082,1052.6,1052.6,1052.5,1052.5,54,56838.5,1070,1248,995,2025-04-20T14:22:12.9559,1052.5,3,1052.56,2105
201,2025-04-20,2898,NRN,NRN Infrastructure and Development Limited,1900,1930,1881,1901.55,176981,337034148,1900.01,1953,478.3,2025-04-20T14:59:58.328398,1899,1241,1904.35,24422.98
202,2025-04-20,2903,LEC,Liberty Energy Company Limited,215.28,216.9,210.5,210.92,109559,23320817.5,215.28,344,175.1,2025-04-20T14:59:57.995623,210.6,318,212.86,4745.7
203,2025-04-20,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1097.3,1097.3,1097.3,1097.3,150,164595,1100,1130,997,2025-04-20T11:26:38.646406,1097.3,1,1097.3,2194.6
204,2025-04-20,2907,SSHL,Shiva Shree Hydropower Ltd,240,242,233.3,234.7,121540,28742241.5,243.48,281.1,154,2025-04-20T14:59:52.554164,233.5,386,236.48,3465.11
205,2025-04-20,2908,SGIC,Sanima GIC Insurance Limited,595,600,588,589.38,12071,7164339.7,596.15,817.1,508.1,2025-04-20T14:59:51.938954,591,160,593.51,12671.67
206,2025-04-20,2914,UMRH,United IDI Mardi RB Hydropower Limited.,640.6,640.6,612.5,614.83,25061,15584481.7,631.73,790,325,2025-04-20T14:59:57.465296,615,174,621.86,2833.28
207,2025-04-20,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,566,570,555,560.55,11904,6691775.1,566.11,732.2,473,2025-04-20T14:59:46.924377,560,181,562.14,26489.35
208,2025-04-20,2922,SBD87,8.5% Sanima Debenture 2087,1050,1050,1050,1055.1,31,32555.1,1060,1080,940,2025-04-20T14:17:01.136386,1050,2,1050.16,3220.59
209,2025-04-20,2923,SLCF,Sanima Large Cap Fund,9.6,9.95,9.6,9.94,72400,717851,9.79,10.6,7.7,2025-04-20T14:59:55.590463,9.95,15,9.91,1192.8
210,2025-04-20,2924,GLH,GreenLife Hydropower Limited,250.9,252,241.5,243.64,32088,7929077.5,250.57,336,196,2025-04-20T14:59:51.096921,241.5,173,247.1,4385.52
211,2025-04-20,2925,MLBSL,Mahila Lagubitta Bittiya Sanstha Limited ,2299,2299,2230.1,2245.46,2072,4655700.7,2264.06,2648.7,1647,2025-04-20T14:59:55.144149,2266.9,43,2246.95,4885.28
212,2025-04-20,3946,CHDC,CEDB Holdings Limited,2574.1,2730,2574.1,2613.82,69169,181246034,2626.54,2730,627,2025-04-20T14:59:57.833251,2619,778,2620.33,27033.1
213,2025-04-20,4947,PSF,Prabhu Select Fund,10.21,10.53,10.21,10.53,46980,491492.3,10.35,11.1,8.36,2025-04-20T14:43:36.461687,10.53,23,10.46,1316.25
214,2025-04-20,4948,KSBBLD87,9% Kamana Sewa Bikas Bank Limited Debenture 2087,1104,1104,1104,1104,645,712080,1086,1104,980,2025-04-20T11:25:44.275095,1104,1,1104,1104
215,2025-04-20,4961,BOKD86,8.5% BOK Debenture 2086,1069,1072.5,1069,1070,202,216152.5,1055.1,1080,950,2025-04-20T11:52:57.015557,1070,5,1070.06,1712
216,2025-04-20,4965,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,2500,2505,2463,2499.5,546,1352199.5,2504.68,4181,1780,2025-04-20T14:55:14.39264,2500,22,2476.55,571.14
217,2025-04-20,7986,NICD88,NIC ASIA Rinpatra 2088,1080,1080,1080,1080,45,48600,1065,1083,935,2025-04-20T11:31:31.534935,1080,2,1080,1699.78
218,2025-04-20,8003,RBBD83,8.5% RBBL Debenture 2083,1032,1032,1032,1037,2,2074,1032,1062,946.5,2025-04-20T12:35:28.000239,1032,1,1037,2592.5
219,2025-04-20,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,560.1,567,551,555.02,27290,15181455.7,563.69,735,402,2025-04-20T14:58:46.268241,555,156,556.3,2088.65
220,2025-04-20,8021,SAHAS,Sahas Urja Limited,515,515.5,508,509.32,109876,56238305.1,514.48,725,409.5,2025-04-20T14:59:46.392707,509.9,803,511.83,19252.3
